prediction_track_ranking,ranking_quantile,ranking_quintile,ranking_decile,ranking_vigintile,exp_calibration_error,max_calibration_error,macro_precision,macro_recall,macro_f1,n_entries,accuracy_top1,accuracy_top5,accuracy_top10,accuracy_top20,X80,X90,X95,X99
1,0.0033444816053511705,1,1,1,0.122735514932605,0.25058912596401,0.9171996124649588,0.7900405171855487,0.842476433611813,38,0.8193110739141926,0.9303145097348251,0.9494317681261563,0.9615892872874636,1,3,11,299
2,0.006688963210702341,1,1,1,0.243590873050832,0.243590873050832,0.8320600014078731,0.8075854985613242,0.80441808914942,113,0.7564091269491675,0.920623733591754,0.9443220861598097,0.9560391154964321,2,4,15,318
3,0.010033444816053512,1,1,1,0.338119989428244,0.338119989428244,0.9138052093960644,0.6133296554880234,0.7431251982449837,69,0.6618800105717558,0.9132235045370451,0.9344551140868645,0.9344551140868645,2,4,1314,1314
4,0.013377926421404682,1,1,1,0.034055975855754,0.117882833229486,0.9315319442674623,0.7460006446823917,0.8214202627204275,119,0.796317505065633,0.9089948022200687,0.929785921945203,0.9450268698793058,2,4,25,244
5,0.016722408026755852,1,1,1,0.152788671930226,0.458152388,0.9113267454513692,0.725763622043699,0.8071564177639944,101,0.7842480838692626,0.9022112589199189,0.92899304026077,0.9449387719143688,2,5,26,311
6,0.020066889632107024,1,1,1,0.0778357516111356,0.200983640041754,0.9319096651312574,0.7011295601925379,0.7985508758207482,68,0.7637212580389393,0.8999207118315566,0.9229142806801163,0.9229142806801163,2,6,1314,1314
7,0.023411371237458192,1,1,1,0.145788487285702,0.335594674098101,0.947124881916767,0.6993793583120347,0.8003122250322223,14,0.7664522949519866,0.8993921240419346,0.9221213989956832,0.9396528940181482,2,6,33,265
8,0.026755852842809364,1,1,1,0.0921187449607964,0.285768662320442,0.9055674253104185,0.7420826311984001,0.8098572965179082,46,0.7873315126420579,0.8979825566029425,0.920711831556691,0.9410624614571403,2,6,33,338
9,0.030100334448160536,1,1,1,0.0455098952263236,0.137651640966767,0.8718890376104217,0.7498211274903378,0.7975562829750905,28,0.787948198396617,0.893841952250903,0.9180688926085807,0.938155228614219,2,7,32,260
10,0.033444816053511704,1,1,1,0.240856144040173,0.240856144040173,0.9123725358652071,0.6845166269086098,0.7844963896635149,60,0.7583472821777817,0.8955158135847062,0.9158664434851554,0.9327812527530615,2,6,43,380
11,0.03678929765886288,1,1,1,0.189557454312647,0.394815726833076,0.9172981499364604,0.6997697077384207,0.7934006438502869,54,0.7575544004933487,0.8902299356884856,0.9157783455202185,0.9343670161219276,2,7,39,1314
12,0.04013377926421405,1,1,1,0.891903797022289,0.891903797022289,0.0889508600500537,0.09617184254909848,0.19025656286313963,68,0,0,0.9133116025019822,0.9133116025019822,10,10,1314,1314
13,0.043478260869565216,1,1,1,0.18949961668422,0.389765176345793,0.9130871723767547,0.6902372676129368,0.7817994187144255,82,0.7554400493348604,0.8904942295832966,0.9128711126772971,0.9314597832790062,2,7,46,535
14,0.046822742474916385,1,1,1,0.00888908466214432,0.00888908466214432,0.1301378733891443,0.09439916714385235,0.24347927882264864,34,0,0,0.9127830147123601,0.9127830147123601,10,10,1314,1314
15,0.05016722408026756,1,1,2,0.086063185886706,0.252201734279919,0.9061866503501286,0.7036158607041871,0.7878156708761317,47,0.7643379437934984,0.8881155845299974,0.912166328957801,0.9311954893841953,2,8,43,1314
16,0.05351170568561873,1,1,2,0.197331772412122,0.72862103,0.8861008765316729,0.7226265732095939,0.7943443556472923,12,0.7754382873755616,0.8862655272663201,0.911725839133116,0.9340146242621795,2,8,39,359
17,0.056856187290969896,1,1,2,0.210818090355123,0.373663110124859,0.8746450398444277,0.6980782582187339,0.7796488981923985,22,0.7500660734737028,0.8818606290194696,0.9106686635538719,0.9319883710686283,2,8,42,414
18,0.06020066889632107,1,1,2,0.147155154874284,0.274490387243243,0.8979154154427528,0.6849698757978828,0.777226489454115,57,0.7455730772619152,0.8810677473350366,0.9086424103603207,0.9086424103603207,2,8,1314,1314
19,0.06354515050167224,1,1,2,0.064916328957801,0.193272660098522,0.8408232021503391,0.692842996196953,0.764756649327004,15,0.7504184653334508,0.8773676328076822,0.9078495286758876,0.9282882565412739,2,9,52,388
20,0.06688963210702341,1,1,2,0.045122892858779,0.117448361885442,0.9365833177773292,0.6846822037050965,0.7977563305982975,21,0.7504184653334508,0.8794819839661704,0.9067042551317065,0.9283763545062109,2,9,46,372
21,0.07023411371237458,1,1,2,0.10509193259563,0.277527992903846,0.926487964028179,0.6354781911093853,0.7643098617165277,56,0.7206413531847414,0.8774557307726192,0.9051184917628403,0.9236190643996124,2,9,56,410
